FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM340A,216,CDD_AdcDiagc.c,Adc0StBasdProc,973-997,I,""
CM340A,151,CDD_AdcDiagc.c,Adc1StBasdProc,1046-1051,I,""
CM340A,153,CDD_AdcDiagc.c,Adc1StBasdProc,1046-1051,I,""
CM340A,152,CDD_AdcDiagc.c,Adc1StBasdProc,1046-1051,I,""
CM340A,154,CDD_AdcDiagc.c,Adc1StBasdProc,1046-1051,I,""
CM340A,217,CDD_AdcDiagc.c,Adc1StBasdProc,1095-1119,I,""
CM340A,194,CDD_AdcDiagc.c,AdcDiagcPer1,858,I,""
CM340A,134,CDD_AdcDiagc.c,Adc1StBasdProc,1095-1119,I,""
CM340A,191,CDD_AdcDiagc.c,Adc0StBasdProc,920-924,I,""
CM340A,190,CDD_AdcDiagc.c,Adc0StBasdProc,920-924,I,""
CM340A,192,CDD_AdcDiagc.c,Adc0StBasdProc,920-924,I,""
CM340A,115,CDD_AdcDiagc.c,Adc0StBasdProc,940-946,I,""
CM340A,164,CDD_AdcDiagc.c,Adc1StBasdProc,1053-1058,I,""
CM340A,117,CDD_AdcDiagc.c,Adc0StBasdProc,940-946,I,""
CM340A,116,CDD_AdcDiagc.c,Adc0StBasdProc,940-946,I,""
CM340A,163,CDD_AdcDiagc.c,Adc1StBasdProc,1053-1058,I,""
CM340A,136,CDD_AdcDiagc.c,Adc1StBasdProc,1095-1119,I,""
CM340A,112,CDD_AdcDiagc.c,AdcDiagcPer1,858,I,""
CM340A,80,CDD_AdcDiagc.c,AdcDiagcPer1,858,I,""
CM340A,173,CDD_AdcDiagc.c,"Adc0StBasdProc,Adc1StBasdProc","920-924,926-931,933-938,940-946,1040-1044,1046-1051,1053-1058,1060-1066",I,""
CM340A,118,CDD_AdcDiagc.c,Adc0StBasdProc,940-946,I,""
CM340A,171,CDD_AdcDiagc.c,Adc1StBasdProc,1060-1066,I,""
CM340A,170,CDD_AdcDiagc.c,Adc1StBasdProc,1060-1066,I,""
CM340A,203,CDD_AdcDiagc.c,Adc1StBasdProc,1095-1119,I,""
CM340A,22,CDD_AdcDiagc.c,Adc0StBasdProc,973-997,I,""
CM340A,160,CDD_AdcDiagc.c,Adc1StBasdProc,1053-1058,I,""
CM340A,211,CDD_AdcDiagc.c,SetAdcParFlt,1362-1382,I,""
CM340A,28,CDD_AdcDiagc.c,Adc0StBasdProc,973-997,I,""
CM340A,105,CDD_AdcDiagc.c,AdcDiagcPtrProc,1150,I,""
CM340A,172,CDD_AdcDiagc.c,Adc1StBasdProc,1060-1066,I,""
CM340A,162,CDD_AdcDiagc.c,Adc1StBasdProc,1053-1058,I,""
CM340A,189,CDD_AdcDiagc.c,"Adc0StBasdProc,AdcDiagcPtrProc","920-924,1135",I,""
CM340A,146,CDD_AdcDiagc.c,Adc1StBasdProc,1040-1044,I,""
CM340A,200,CDD_AdcDiagc.c,"Adc0StBasdProc,Adc1StBasdProc","973-997,1040-1044",I,""
CM340A,144,CDD_AdcDiagc.c,Adc1StBasdProc,1040-1044,I,""
CM340A,145,CDD_AdcDiagc.c,Adc1StBasdProc,1040-1044,I,""
CM340A,204,CDD_AdcDiagc.c,"AdcDiagcPer1,Adc0StBasdProc,Adc1StBasdProc","816-863,952-971,1074-1093",I,""
CM340A,206,CDD_AdcDiagc.c,SetAdcParFlt,1362-1382,I,""
CM340A,99,CDD_AdcDiagc.c,Adc0StBasdProc,926-931,I,""
CM340A,98,CDD_AdcDiagc.c,Adc0StBasdProc,926-931,I,""
CM340A,108,CDD_AdcDiagc.c,Adc0StBasdProc,933-938,I,""
CM340A,109,CDD_AdcDiagc.c,Adc0StBasdProc,933-938,I,""
CM340A,132,CDD_AdcDiagc.c,Adc1StBasdProc,1095-1119,I,""
CM340A,169,CDD_AdcDiagc.c,Adc1StBasdProc,1060-1066,I,""
CM340A,70,CDD_AdcDiagc.c,AdcDiagcPer1,816-863,I,""
CM340A,102,CDD_AdcDiagc.c,AdcDiagcPer1,858,I,""
CM340A,106,CDD_AdcDiagc.c,"Adc0StBasdProc,AdcDiagcPtrProc","933-938,1145",I,""
CM340A,107,CDD_AdcDiagc.c,Adc0StBasdProc,933-938,I,""
CM340A,97,CDD_AdcDiagc.c,Adc0StBasdProc,926-931,I,""
CM340A,96,CDD_AdcDiagc.c,"Adc0StBasdProc,AdcDiagcPtrProc","926-931,1140",I,""
CM340A,16,CDD_AdcDiagc.c,AdcDiagcPer1,816-863,I,""
CM340A,31,CDD_AdcDiagc.c,Adc0StBasdProc,973-997,I,""
CM340A,122,CDD_AdcDiagc.c,Adc0StBasdProc,973-997,I,""
CM340A,130,CDD_AdcDiagc.c,Adc1StBasdProc,1095-1119,I,""
CM340A,215,CDD_AdcDiagc.c,SetAdcParFlt,1362-1382,I,""
