FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM475A,15,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,"475-523,674-692,711-719",I,""
CM475A,58,CDD_TSG31CfgAndUse.c,TSG31CfgAndUseInit1,"220,221",I,""
CM475A,67,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,"480-528,679-697",I,""
CM475A,71,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,"476-524,675-693",I,""
CM475A,70,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,"477-525,676-694",I,""
CM475A,68,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,"479-527,678-696",I,""
CM475A,69,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,"478-526,677-695",I,""
CM475A,80,CDD_TSG31CfgAndUse.c,TSG31CfgAndUseInit1,225,I,""
CM475A,86,CDD_TSG31CfgAndUse.c,TSG31CfgAndUsePer2,472,I,""
