FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM620A,112,CDD_MotAg0Meas_MotCtrl.c,N/A,209,I,""
CM620A,88,CDD_MotAg0Meas_MotCtrl.c,N/A,105-169,I,""
CM620A,89,CDD_MotAg0Meas_MotCtrl.c,N/A,174-203,I,""
CM620A,111,CDD_MotAg0Meas_MotCtrl.c,N/A,138,I,""
CM620A,66,CDD_MotAg0Meas_MotCtrl.c,N/A,214,I,""
CM620A,67,CDD_MotAg0Meas_MotCtrl.c,N/A,82,I,""
CM620A,100,CDD_MotAg0Meas.c,MotAg0MeasPer2,1142-1185,I,""
CM620A,86,CDD_MotAg0Meas_MotCtrl.c,N/A,101-165,I,""
CM620A,87,CDD_MotAg0Meas_MotCtrl.c,N/A,104-168,I,""
CM620A,84,CDD_MotAg0Meas_MotCtrl.c,N/A,100-164,I,""
CM620A,25,CDD_MotAg0Meas.c,MotAg0MeasPer2,1139-1182,I,""
CM620A,48,CDD_MotAg0Meas_MotCtrl.c,N/A,84-92,I,""
CM620A,49,CDD_MotAg0Meas_MotCtrl.c,N/A,193,I,""
CM620A,95,CDD_MotAg0Meas_MotCtrl.c,N/A,103-167,I,""
CM620A,118,CDD_MotAg0Meas_MotCtrl.c,N/A,176-205,I,""
CM620A,119,CDD_MotAg0Meas.c,"MotAg0MeasInit1,CalcCorrnTbl","922,1226-1369",I,""
CM620A,99,CDD_MotAg0Meas.c,MotAg0MeasPer2,1141-1184,I,""
CM620A,98,CDD_MotAg0Meas.c,MotAg0MeasPer2,1140-1183,I,""
CM620A,91,CDD_MotAg0Meas.c,MotAg0MeasPer2,1143-1186,I,""
CM620A,90,CDD_MotAg0Meas_MotCtrl.c,N/A,175-204,I,""
CM620A,93,"CDD_MotAg0Meas.c,CDD_MotAg0Meas_MotCtrl.c","MotAg0MeasPer2,N/A","1107-1132,102-166",I,""
CM620A,106,CDD_MotAg0Meas.c,MotAg0MeasPer2,1145-1188,I,""
CM620A,107,CDD_MotAg0Meas_MotCtrl.c,N/A,106-170,I,""
CM620A,104,CDD_MotAg0Meas.c,MotAg0MeasMotAg0CoeffTblRead_Oper,965-975,I,""
CM620A,105,CDD_MotAg0Meas.c,MotAg0MeasPer2,1194,I,""
CM620A,32,CDD_MotAg0Meas.c,MotAg0MeasMotAg0CoeffTblWr_Oper,1020-1032,I,""
CM620A,31,CDD_MotAg0Meas.c,MotAg0MeasPer2,1144-1187,I,""
CM620A,117,CDD_MotAg0Meas.c,"MotAg0MeasInit1,CalcCorrnTbl","922,1226-1369",I,""
