FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM670A,93,HwAg1Meas.c,HwAg1MeasPer4,1518,I,""
CM670A,28,HwAg1Meas.c,"HwAg1MeasPer2,HwAg1MeasPer3","1160,1312",I,""
CM670A,29,HwAg1Meas.c,HwAg1MeasPer4,1543,I,""
CM670A,60,HwAg1Meas.c,HwAg1MeasPer3,1266-1377,I,""
CM670A,88,HwAg1Meas.c,HwAg1MeasHwAg1ClrTrim_Oper,810-814,I,""
CM670A,89,HwAg1Meas.c,HwAg1MeasHwAg1WrTrim_Oper,913-917,I,""
CM670A,64,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,65,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,66,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,67,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,68,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,69,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,80,HwAg1Meas.c,HwAg1MeasPer5,1609-1618,I,""
CM670A,86,HwAg1Meas.c,"HwAg1MeasHwAg1AutTrim_Oper,HwAg1MeasHwAg1ClrTrim_Oper,HwAg1MeasHwAg1ReadTrim_Oper,HwAg1MeasHwAg1WrTrim_Oper","767,769,811,813,843,914,916",I,""
CM670A,87,HwAg1Meas.c,HwAg1MeasHwAg1TrimPrfmdSts_Oper,873,I,""
CM670A,85,HwAg1Meas.c,"HwAg1MeasHwAg1AutTrim_Oper,HwAg1MeasHwAg1ClrTrim_Oper,HwAg1MeasHwAg1WrTrim_Oper","768,769,812,813,915,916",I,""
CM670A,27,HwAg1Meas.c,"HwAg1MeasPer2,HwAg1MeasPer3","1134-1189,1279-1368",I,""
CM670A,48,HwAg1Meas.c,HwAg1MeasPer2,1160,I,""
CM670A,49,HwAg1Meas.c,HwAg1MeasPer2,1145,I,""
CM670A,46,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,47,HwAg1Meas.c,HwAg1MeasPer2,1179,I,""
CM670A,44,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,45,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,42,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,43,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,40,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,41,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,104,HwAg1Meas.c,HwAg1MeasPer5,1616,I,""
CM670A,75,HwAg1Meas.c,HwAg1MeasPer3,1299,I,""
CM670A,74,HwAg1Meas.c,HwAg1MeasPer2,1151,I,""
CM670A,73,HwAg1Meas.c,HwAg1MeasPer3,1291,I,""
CM670A,71,HwAg1Meas.c,HwAg1MeasPer3,1312,I,""
CM670A,70,HwAg1Meas.c,HwAg1MeasPer3,1331,I,""
CM670A,91,HwAg1Meas.c,HwAg1MeasPer4,"1473,1476",I,""
CM670A,90,HwAg1Meas.c,HwAg1MeasHwAg1AutTrim_Oper,765-770,I,""
CM670A,100,HwAg1Meas.c,"HwAg1MeasPer4,HwAg1MeasPer5","1503-1515,1612,1616",I,""
CM670A,95,HwAg1Meas.c,HwAg1MeasPer4,"1461,1572",I,""
CM670A,97,HwAg1Meas.c,HwAg1MeasPer4,1524,I,""
CM670A,39,HwAg1Meas.c,HwAg1MeasPer2,1122-1207,I,""
CM670A,58,HwAg1Meas.c,HwAg1MeasPer3,1310,I,""
CM670A,55,HwAg1Meas.c,HwAg1MeasPer2,1170,I,""
CM670A,54,HwAg1Meas.c,"HwAg1MeasPer2,HwAg1MeasPer3","1121-1206,1265-1376",I,""
CM670A,31,HwAg1Meas.c,HwAg1MeasPer4,1569,I,""
CM670A,30,HwAg1Meas.c,HwAg1MeasPer4,1570,I,""
CM670A,62,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,53,HwAg1Meas.c,HwAg1MeasPer1,1044-1069,I,""
CM670A,33,HwAg1Meas.c,HwAg1MeasPer4,1543,I,""
CM670A,63,HwAg1Meas.c,HwAg1MeasPer3,1323,I,""
CM670A,32,HwAg1Meas.c,HwAg1MeasPer4,1543,I,""
