FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CM680A,30,CDD_HwTq2Meas.c,HwTq2MeasPer1,1233,I,""
CM680A,42,CDD_HwTq2Meas.c,HwTq2MeasPer1,1135-1141,I,""
CM680A,29,CDD_HwTq2Meas.c,HwTq2MeasPer1,1169-1183,I,""
CM680A,60,CDD_HwTq2Meas.c,HwTq2MeasPer2,1272-1281,I,""
CM680A,62,CDD_HwTq2Meas.c,HwTq2MeasPer2,1272-1281,I,""
CM680A,64,CDD_HwTq2Meas.c,HwTq2MeasPer2,1272-1281,I,""
CM680A,66,CDD_HwTq2Meas.c,HwTq2MeasPer2,1272-1281,I,""
CM680A,67,CDD_HwTq2Meas.c,"HwTq2MeasPer1,SlowSerlDataRead","1161,1378-1399",I,""
CM680A,26,CDD_HwTq2Meas.c,HwTq2MeasPer1,1182,I,""
CM680A,27,CDD_HwTq2Meas.c,HwTq2MeasPer1,1054-1235,I,""
CM680A,48,CDD_HwTq2Meas.c,HwTq2MeasPer1,1124-1129,I,""
CM680A,49,CDD_HwTq2Meas.c,HwTq2MeasPer1,1115-1119,I,""
CM680A,46,CDD_HwTq2Meas.c,HwTq2MeasPer1,1136-1142,I,""
CM680A,47,CDD_HwTq2Meas.c,HwTq2MeasPer1,1150-1155,I,""
CM680A,44,CDD_HwTq2Meas.c,HwTq2MeasPer1,1136-1142,I,""
CM680A,45,CDD_HwTq2Meas.c,HwTq2MeasPer1,1136-1142,I,""
CM680A,28,CDD_HwTq2Meas.c,HwTq2MeasPer1,1124-1129,I,""
CM680A,43,CDD_HwTq2Meas.c,HwTq2MeasPer1,1135-1141,I,""
CM680A,40,CDD_HwTq2Meas.c,HwTq2MeasPer1,1135-1141,I,""
CM680A,41,CDD_HwTq2Meas.c,HwTq2MeasPer1,1135-1141,I,""
CM680A,39,CDD_HwTq2Meas.c,HwTq2MeasPer1,1054-1235,I,""
CM680A,38,CDD_HwTq2Meas.c,HwTq2MeasPer1,"1199,1204",I,""
CM680A,55,CDD_HwTq2Meas.c,HwTq2MeasHwTq2ClrTrim_Oper,786-793,I,""
CM680A,54,CDD_HwTq2Meas.c,HwTq2MeasHwTq2TrimPrfmdSts_Oper,855,I,""
CM680A,57,CDD_HwTq2Meas.c,HwTq2MeasHwTq2AutTrim_Oper,738-745,I,""
CM680A,56,CDD_HwTq2Meas.c,HwTq2MeasHwTq2WrTrim_Oper,896-903,I,""
CM680A,51,CDD_HwTq2Meas.c,HwTq2MeasPer1,1186,I,""
CM680A,50,CDD_HwTq2Meas.c,"HwTq2MeasHwTq2AutTrim_Oper,HwTq2MeasHwTq2ClrTrim_Oper,HwTq2MeasHwTq2WrTrim_Oper","738-745,786-793,896-903",I,""
CM680A,53,CDD_HwTq2Meas.c,HwTq2MeasHwTq2ReadTrim_Oper,824,I,""
CM680A,52,CDD_HwTq2Meas.c,HwTq2MeasPer1,1173,I,""
CM680A,33,CDD_HwTq2Meas.c,HwTq2MeasTrigStrt_Oper,1325-1342,I,""
CM680A,32,CDD_HwTq2Meas.c,HwTq2MeasPer1,1169-1183,I,""
CM680A,31,CDD_HwTq2Meas.c,HwTq2MeasPer1,1234,I,""
