DF001A Fault Injection - v2.2.X
Report generated on 14-Jun-2016 06:46:54 by running FltInj_ListAll script.

Value,Component,Signal,Software Name,Description
1,ASSI,ASSICMDBAS,FLTINJ_ASSI_ASSICMDBAS,Output signal of Assist function.
42,CURRMEASCORRLN,CURRMEASIDPTSIG,FLTINJ_CURRMEASCORRLN_CURRMEASIDPTSIG,Output signal of Current Measure Correlation function.
29,CURRMEAS,MOTCURRCORRDA,FLTINJ_CURRMEAS_MOTCURRCORRDA,Output signal of Current Measurement function.
36,CURRMEAS,MOTCURRCORRDD,FLTINJ_CURRMEAS_MOTCURRCORRDD,Output signal of Current Measurement function.
30,CURRMEAS,TESTOK,FLTINJ_CURRMEAS_TESTOK,Internal decision-making location of Current Measurement function.  Injecting True represents protocol fault.
3,DAMPG,DAMPGCMDBAS,FLTINJ_DAMPG_DAMPGCMDBAS,Output signal of Damping function.
31,DIAGCMGR,DIAGCSTSIVTR1INACTV,FLTINJ_DIAGCMGR_DIAGCSTSIVTR1INACTV,Output signal of Diagnostics Manager
32,DIAGCMGR,DIAGCSTSIVTR2INACTV,FLTINJ_DIAGCMGR_DIAGCSTSIVTR2INACTV,Output signal of Diagnostics Manager
8,EOTDAMPGFWL,EOTDAMPGCMD,FLTINJ_EOTDAMPGFWL_EOTDAMPGCMD,Input signal of EOT Damping Firewall function.
33,HWAG0MEAS,HWAG0,FLTINJ_HWAG0MEAS_HWAG0,Output signal of Handwheel Angle Zero function.
34,HWAG0MEAS,TESTOK,FLTINJ_HWAG0MEAS_TESTOK,Internal decision-making location of Handwheel Angle Zero function.  Injecting True represents protocol fault.
35,HWAGCORRLN,HWAGIDPTSIG,FLTINJ_HWAGCORRLN_HWAGIDPTSIG,Output signal of Handwheel Angle Correlation function.
23,HWAGSYSARBN,HWAG,FLTINJ_HWAGSYSARBN_HWAG,Output signal of Handwheel Angle System Arbitration.
37,HWAGSYSARBN,SERLCOMHWAG,FLTINJ_HWAGSYSARBN_SERLCOMHWAG,Output signal of Handwheel Angle Arbitration.
24,HWTQ0MEAS,HWTQ0,FLTINJ_HWTQ0MEAS_HWTQ0,Output signal of Handwheel Torque Zero function.
25,HWTQ0MEAS,TESTOK0,FLTINJ_HWTQ0MEAS_TESTOK0,Internal decision-making location of Handwheel Torque Zero function.  Injecting True represents protocol fault.
26,HWTQ2MEAS,HWTQ2,FLTINJ_HWTQ2MEAS_HWTQ2,Output signal of Handwheel Torque Two Measure function.
27,HWTQCORRLN,HWTQIDPTSIG,FLTINJ_HWTQCORRLN_HWTQIDPTSIG,Output signal of Handwheel Torque Correlation function.
5,HYSCMP,HYSCMPCMD,FLTINJ_HYSCMP_HYSCMPCMD,Output signal of Hysteresis Compensation function.
9,INERTIACMPTQ,ASSIHIFRQCMD,FLTINJ_INERTIACMPTQ_ASSIHIFRQCMD,Output signal of Inertia Compensation - Torque function.
6,INERTIACMPVEL,INERTIACMPCMD,FLTINJ_INERTIACMPVEL_INERTIACMPCMD,Output signal of Inertia Compensation - Velocity function
20,LIMRCDNG,EOTGAIN,FLTINJ_LIMRCDNG_EOTGAIN,Input signal of Limiter Conditioning function.
21,LIMRCDNG,EOTLIM,FLTINJ_LIMRCDNG_EOTLIM,Input signal of Limiter Conditioning function.
19,LIMRCDNG,SYSMOTTQCMDSCA,FLTINJ_LIMRCDNG_SYSMOTTQCMDSCA,Input signal of Limiter Conditioning function.
38,MOTAG0MEAS,MOTCTRLMOTAG0MECL,FLTINJ_MOTAG0MEAS_MOTCTRLMOTAG0MECL,Output signal from MotAg0Meas, digital motor position
39,MOTAG0MEAS,TESTOK,FLTINJ_MOTAG0MEAS_TESTOK,Boolean decision point that decides whether to set NTC to PreFaild
40,MOTAG2MEAS,MOTAG2MECL,FLTINJ_MOTAG2MEAS_MOTAG2MECL,Output signal from MotAg2Meas, analog motor position
28,MOTAGCORRLN,MOTAGIDPTSIG,FLTINJ_MOTAGCORRLN_MOTAGIDPTSIG,Output signal of Motor Angle Correlation function.
22,MOTTQEOLSCAG,MOTTQCMDMRFSCAD,FLTINJ_MOTTQEOLSCAG_MOTTQCMDMRFSCAD,Output signal of EOL Scaling function.
2,RTN,RTNCMD,FLTINJ_RTN_RTNCMD,Output signal of Return function.
7,STABYCMP,ASSICMD,FLTINJ_STABYCMP_ASSICMD,Output signal of Stability Compensation function.
4,SYSFRICLRNG,SYSFRICOFFS,FLTINJ_SYSFRICLRNG_SYSFRICOFFS,Internal signal of Average Friction Learning function.  Located prior to signal saturation and defeat.
41,TQOSCN,PREFINALCMD,FLTINJ_TQOSCN_PREFINALCMD,Internal temp signal of Torque Oscillation function.
