FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES003A,88,PwrDiscnct.c,PwrDiscnctPer1,885,I,""
ES003A,89,PwrDiscnct.c,PwrDiscnctPer1,823-840,I,""
ES003A,82,PwrDiscnct.c,PwrDiscnctPer1,884,I,""
ES003A,86,PwrDiscnct.c,PwrDiscnctPer1,808-815,I,""
ES003A,87,PwrDiscnct.c,PwrDiscnctPer1,"848-856,864-869",I,""
ES003A,21,PwrDiscnct.c,PwrDiscnctPer1,799-805,I,""
ES003A,22,PwrDiscnct.c,PwrDiscnctPer1,"810,835",I,""
ES003A,23,PwrDiscnct.c,PwrDiscnctPer1,824-830,I,""
ES003A,47,PwrDiscnct.c,PwrDiscnctPer1,796-882,I,""
ES003A,42,PwrDiscnct.c,PwrDiscnctPer1,"812,818",I,""
ES003A,43,PwrDiscnct.c,PwrDiscnctPer1,"837,844",I,""
ES003A,76,PwrDiscnct.c,PwrDiscnctPer1,825-831,I,""
ES003A,106,PwrDiscnct.c,PwrDiscnctPer1,792,I,""
ES003A,91,PwrDiscnct.c,PwrDiscnctPer1,819,I,""
ES003A,93,PwrDiscnct.c,PwrDiscnctPer1,843,I,""
ES003A,92,PwrDiscnct.c,PwrDiscnctPer1,807-814,I,""
ES003A,95,PwrDiscnct.c,PwrDiscnctPer1,833-839,I,""
ES003A,11,PwrDiscnct.c,PwrDiscnctPer1,790,I,""
ES003A,10,PwrDiscnct.c,PwrDiscnctPer1,789,I,""
ES003A,13,PwrDiscnct.c,PwrDiscnctPer1,826,I,""
ES003A,12,PwrDiscnct.c,PwrDiscnctPer1,791,I,""
ES003A,15,PwrDiscnct.c,PwrDiscnctPer1,892,I,""
ES003A,14,PwrDiscnct.c,PwrDiscnctPer1,891,I,""
ES003A,98,PwrDiscnct.c,PwrDiscnctPer1,795-889,I,""
ES003A,18,PwrDiscnct.c,PwrDiscnctPer1,"803,829",I,""
ES003A,50,PwrDiscnct.c,PwrDiscnctPer1,798-804,I,""
