FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES106A,42,StHlthSigStc.c,"StHlthStcPwrDwn_Oper,StHlthSigStc_UpdNvmPim","563-572,864-886",I,""
ES106A,22,StHlthSigStc.c,"StHlthStcPwrDwn_Oper,StHlthSigStc_GetSigStHlthData,StHlthSigStc_UpdDataSample","507,561,760-809,917-953",I,""
ES106A,24,StHlthSigStc.c,"StHlthStcPwrDwn_Oper,StHlthSigStc_UpdNvmPim","562-571,863-885",I,""
ES106A,26,StHlthSigStc.c,StHlthStcPwrDwn_Oper,486-581,I,""
ES106A,20,StHlthSigStc.c,StHlthSigStcInit1,412-421,I,""
ES106A,21,StHlthSigStc.c,"StHlthStcPwrDwn_Oper,StHlthSigStc_GetSigStHlthData,StHlthSigStc_UpdDataSample","506,560,759-808,916-952",I,""
ES106A,48,StHlthSigStc.c,StHlthSigStcInit1,358-391,I,""
ES106A,49,StHlthSigStc.c,StHlthSigStcInit1,372-375,I,""
ES106A,44,StHlthSigStc.c,StHlthSigStcInit1,398-406,I,""
ES106A,45,StHlthSigStc.c,StHlthStcPwrDwn_Oper,502,I,""
ES106A,28,StHlthSigStc.c,StHlthStcPwrDwn_Oper,487-582,I,""
ES106A,43,StHlthSigStc.c,StHlthSigStcInit1,349-392,I,""
ES106A,40,StHlthSigStc.c,"ClrSigStcHlthData_Oper,StHlthSigStc_ClrDataSample","216-232,676-707",I,""
ES106A,5,StHlthSigStc.c,StHlthSigStc_UpdNvmPim,147,I,""
ES106A,7,StHlthSigStc.c,StHlthSigStc_UpdNvmPim,149,I,""
ES106A,6,StHlthSigStc.c,StHlthSigStc_UpdNvmPim,148,I,""
ES106A,8,StHlthSigStc.c,StHlthSigStc_UpdNvmPim,150,I,""
ES106A,11,StHlthSigStc.c,UpdStHlthStcData_Oper,632-648,I,""
ES106A,39,StHlthSigStc.c,"ClrSigStcHlthData_Oper,StHlthSigStc_ClrDataSample","215-231,675-706",I,""
ES106A,12,StHlthSigStc.c,StHlthStcPwrDwn_Oper,463-580,I,""
ES106A,15,StHlthSigStc.c,"StHlthStcPwrDwn_Oper,StHlthSigStc_GetSigStHlthData,StHlthSigStc_UpdDataSample","504,558,757-806,914-950",I,""
ES106A,14,StHlthSigStc.c,StHlthSigStcInit1,410-419,I,""
ES106A,17,StHlthSigStc.c,StHlthSigStcInit1,411-420,I,""
ES106A,33,StHlthSigStc.c,StHlthStcPwrDwn_Oper,491-586,I,""
ES106A,32,StHlthSigStc.c,StHlthStcPwrDwn_Oper,490-585,I,""
ES106A,31,StHlthSigStc.c,StHlthStcPwrDwn_Oper,489-584,I,""
ES106A,30,StHlthSigStc.c,StHlthStcPwrDwn_Oper,488-583,I,""
ES106A,37,StHlthSigStc.c,StHlthSigStc_GetSigStHlthData,737-843,I,""
ES106A,50,StHlthSigStc.c,StHlthSigStcInit1,383-389,I,""
ES106A,35,StHlthSigStc.c,UpdStHlthStcData_Oper,633-649,I,""
ES106A,52,StHlthSigStc.c,StHlthSigStcInit1,394-422,I,""
ES106A,18,StHlthSigStc.c,"StHlthStcPwrDwn_Oper,StHlthSigStc_GetSigStHlthData,StHlthSigStc_UpdDataSample","505,559,758-807,915-951",I,""
