FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES210A,25,EcuTMeas.c,EcuTMeasPer1,"741,754-767",I,""
ES210A,71,EcuTMeas.c,EcuTMeasPer1,743,I,""
ES210A,48,EcuTMeas.c,"EcuTMeasInit1,EcuTMeasPer1","680,744",I,""
ES210A,49,EcuTMeas.c,EcuTMeasPer1,743,I,""
ES210A,31,EcuTMeas.c,EcuTMeasPer1,765,I,""
ES210A,70,EcuTMeas.c,EcuTMeasPer1,761,I,""
ES210A,51,EcuTMeas.c,EcuTMeasPer1,780,I,""
ES210A,68,EcuTMeas.c,EcuTMeasPer1,"748,778",I,""
ES210A,65,EcuTMeas.c,EcuTMeasInit1,685,I,""
ES210A,66,EcuTMeas.c,"EcuTMeasInit1,EcuTMeasPer1","682,748",I,""
ES210A,67,EcuTMeas.c,"EcuTMeasInit1,EcuTMeasPer1","685,777",I,""
ES210A,82,EcuTMeas.c,EcuTMeasPer1,745,I,""
ES210A,83,EcuTMeas.c,EcuTMeasPer1,752,I,""
ES210A,80,EcuTMeas.c,EcuTMeasInit1,685,I,""
ES210A,81,EcuTMeas.c,EcuTMeasPer1,741-783,I,""
ES210A,69,EcuTMeas.c,EcuTMeasPer1,757,I,""
ES210A,84,EcuTMeas.c,EcuTMeasPer1,768,I,""
