FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES250A,77,BattVltg.c,BattVltgPer1,207,I,""
ES250A,59,BattVltg.c,BattVltgPer1,137,I,""
ES250A,48,BattVltg.c,BattVltgPer1,134,I,""
ES250A,49,BattVltg.c,BattVltgPer1,135,I,""
ES250A,51,BattVltg.c,BattVltgPer1,209,I,""
ES250A,60,BattVltg.c,BattVltgPer1,136,I,""
ES250A,74,BattVltg.c,BattVltgPer1,"177,185,190-192",I,""
ES250A,73,BattVltg.c,BattVltgPer1,"160,168-173",I,""
ES250A,72,BattVltg.c,BattVltgPer1,"143,151-156",I,""
ES250A,71,BattVltg.c,BattVltgPer1,"143,145-150,160,162-167,177,179-184",I,""
ES250A,70,BattVltg.c,BattVltgPer1,194-198,I,""
ES250A,69,BattVltg.c,BattVltgPer1,200-204,I,""
