FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES300A,216,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,398,I,""
ES300A,276,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer2,449-453,I,""
ES300A,211,CDD_SinVltgGenn_MotCtrl.c,MotCtrlPhaOnTiCalc,220-263,I,""
ES300A,219,CDD_SinVltgGenn.c,SinVltgGennInit1,148,I,""
ES300A,270,CDD_SinVltgGenn.c,SinVltgGennInit1,153,I,""
ES300A,271,CDD_SinVltgGenn.c,SinVltgGennInit1,152,I,""
ES300A,273,CDD_SinVltgGenn.c,SinVltgGennInit1,132-145,I,""
ES300A,135,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,339,I,""
ES300A,277,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,399-403,I,""
ES300A,101,CDD_SinVltgGenn.c,SinVltgGennInit1,128,I,""
ES300A,205,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,404,I,""
ES300A,207,CDD_SinVltgGenn.c,SinVltgGennInit1,151,I,""
ES300A,263,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer2,452,I,""
ES300A,262,CDD_SinVltgGenn_MotCtrl.c,"SinVltgGennPer1,SinVltgGennPer2","279,419",P,"Integration dependent - periodic is scheduled in integration project,Integration dependent - periodic is scheduled in integration project"
ES300A,267,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,401,I,""
ES300A,266,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,402,I,""
ES300A,265,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer2,450,I,""
ES300A,264,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer2,451,I,""
ES300A,102,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,312,I,""
ES300A,103,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,310,I,""
ES300A,269,CDD_SinVltgGenn.c,SinVltgGennInit1,154,I,""
ES300A,268,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,400,I,""
ES300A,222,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer2,415-456,I,""
ES300A,104,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,311,I,""
ES300A,15,CDD_SinVltgGenn_MotCtrl.c,SinVltgGennPer1,404,I,""
