FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF001A,568,Assi.c,AssiPer1,277,I,""
SF001A,569,Assi.c,AssiPer1,278,I,""
SF001A,584,Assi.c,AssiPer1,285,I,""
SF001A,585,Assi.c,AssiPer1,287,I,""
SF001A,595,Assi.c,AssiPer1,344-347,I,""
SF001A,593,Assi.c,AssiPer1,342,I,""
SF001A,587,Assi.c,AssiPer1,297-306,I,""
SF001A,573,Assi.c,AssiPer1,276,I,""
SF001A,572,Assi.c,AssiPer1,270,I,""
SF001A,571,Assi.c,AssiPer1,271,I,""
SF001A,570,Assi.c,AssiPer1,272,I,""
SF001A,590,Assi.c,AssiPer1,338,I,""
SF001A,565,Assi.c,AssiPer1,273,I,""
SF001A,566,Assi.c,AssiPer1,274,I,""
SF001A,567,Assi.c,AssiPer1,275,I,""
SF001A,575,Assi.c,AssiPer1,355,I,""
SF001A,596,Assi.c,AssiPer1,349,I,""
SF001A,588,Assi.c,AssiPer1,308-317,I,""
SF001A,591,Assi.c,AssiPer1,338,I,""
SF001A,589,Assi.c,AssiPer1,319-329,I,""
SF001A,586,Assi.c,AssiPer1,290,I,""
