FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF009A,151,DutyCycThermProtn.c,MultiFilterPercMax,"1390,1394",I,""
SF009A,150,DutyCycThermProtn.c,DutyCycThermProtnPer1,1133-1138,I,""
SF009A,248,DutyCycThermProtn.c,TemperatureLimiting,"1342,1344,1349,1354,1359",I,""
SF009A,215,DutyCycThermProtn.c,ThermalLoadLimit,1555,I,""
SF009A,155,DutyCycThermProtn.c,MultiFilterPercMax,1387-1446,I,""
SF009A,213,DutyCycThermProtn.c,ThermalLoadLimit,1508,I,""
SF009A,217,DutyCycThermProtn.c,MultiFilterPercMax,1399,I,""
SF009A,114,DutyCycThermProtn.c,TemperatureSelection,"1264,1268",I,""
SF009A,117,DutyCycThermProtn.c,"DutyCycThermProtnInit1,MultiFilterPercMax","945-952,1448-1483",I,""
SF009A,116,DutyCycThermProtn.c,MultiFilterPercMax,1398-1438,I,""
SF009A,161,DutyCycThermProtn.c,ThermalLoadLimit,1540-1552,I,""
SF009A,252,DutyCycThermProtn.c,TemperatureLimiting,1313-1319,I,""
SF009A,235,DutyCycThermProtn.c,ThermalLimitStatus,1599-1608,I,""
SF009A,250,DutyCycThermProtn.c,TemperatureLimiting,1298-1304,I,""
SF009A,138,DutyCycThermProtn.c,DutyCycThermProtnPer1,1106-1111,I,""
SF009A,257,DutyCycThermProtn.c,MultiFilterPercMax,1482,I,""
SF009A,232,DutyCycThermProtn.c,ThermalLimitStatus,1596,I,""
SF009A,233,DutyCycThermProtn.c,ThermalLimitStatus,1588,I,""
SF009A,174,DutyCycThermProtn.c,DutyCycThermProtnInit1,945-952,I,""
SF009A,222,DutyCycThermProtn.c,MultiFilterPercMax,"1402-1416,1422,1436",I,""
SF009A,44,DutyCycThermProtn.c,DutyCycThermProtnPer1,1144,I,""
SF009A,45,DutyCycThermProtn.c,DutyCycThermProtnPer1,1146,I,""
SF009A,41,DutyCycThermProtn.c,DutyCycThermProtnPer1,1085,I,""
SF009A,181,DutyCycThermProtn.c,FiltSVReinit,1196,I,""
SF009A,162,DutyCycThermProtn.c,ThermalLoadLimit,1528-1533,I,""
SF009A,184,DutyCycThermProtn.c,TemperatureSelection,1227,I,""
SF009A,185,DutyCycThermProtn.c,TemperatureSelection,1229,I,""
SF009A,9,DutyCycThermProtn.c,DutyCycThermProtnPer1,1088,I,""
SF009A,283,DutyCycThermProtn.c,DutyCycThermProtnPer1,1147,I,""
SF009A,285,DutyCycThermProtn.c,"DutyCycThermProtnInit1,FiltSVReinit","927-943,1185-1194",I,""
SF009A,287,DutyCycThermProtn.c,ThermalLimitStatus,1621-1627,I,""
SF009A,144,DutyCycThermProtn.c,TemperatureSelection,1243-1252,I,""
SF009A,205,DutyCycThermProtn.c,DutyCycThermProtnInit1,"928,932-937,941",I,""
SF009A,143,DutyCycThermProtn.c,ThermalLimitStatus,1612-1619,I,""
SF009A,148,DutyCycThermProtn.c,TemperatureLimiting,1330-1338,I,""
SF009A,247,DutyCycThermProtn.c,ThermalLimitStatus,1630,I,""
SF009A,109,DutyCycThermProtn.c,DutyCycThermProtnPer1,1084,I,""
SF009A,168,DutyCycThermProtn.c,MultiFilterPercMax,"1476,1480",I,""
SF009A,169,DutyCycThermProtn.c,DutyCycThermProtnPer1,1143-1148,I,""
SF009A,251,DutyCycThermProtn.c,TemperatureLimiting,1312-1318,I,""
SF009A,167,DutyCycThermProtn.c,MultiFilterPercMax,1450-1485,I,""
SF009A,249,DutyCycThermProtn.c,TemperatureLimiting,1297-1303,I,""
SF009A,188,DutyCycThermProtn.c,TemperatureSelection,1227,I,""
SF009A,221,DutyCycThermProtn.c,MultiFilterPercMax,"1421,1435",I,""
SF009A,220,DutyCycThermProtn.c,MultiFilterPercMax,1401-1415,I,""
SF009A,11,DutyCycThermProtn.c,DutyCycThermProtnInit1,945-952,I,""
SF009A,39,DutyCycThermProtn.c,DutyCycThermProtnPer1,1094,I,""
SF009A,38,DutyCycThermProtn.c,DutyCycThermProtnPer1,1087,I,""
SF009A,33,DutyCycThermProtn.c,DutyCycThermProtnPer1,1092,I,""
SF009A,32,DutyCycThermProtn.c,DutyCycThermProtnPer1,1089,I,""
SF009A,37,DutyCycThermProtn.c,DutyCycThermProtnPer1,1093,I,""
SF009A,36,DutyCycThermProtn.c,DutyCycThermProtnPer1,1091,I,""
SF009A,35,DutyCycThermProtn.c,DutyCycThermProtnPer1,1090,I,""
SF009A,34,DutyCycThermProtn.c,DutyCycThermProtnPer1,1086,I,""
SF009A,164,DutyCycThermProtn.c,MultiFilterPercMax,1449-1484,I,""
SF009A,246,DutyCycThermProtn.c,ThermalLimitStatus,"1585,1593",I,""
SF009A,267,DutyCycThermProtn.c,ThermalLimitStatus,1591,I,""
