FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF023A,56,TunSelnAuthy.c,RtCalChgReq_Oper,"221,222",I,""
SF023A,59,TunSelnAuthy.c,RtCalChgReq_Oper,212,I,""
SF023A,48,TunSelnAuthy.c,RtCalChgReq_Oper,"219,220",I,""
SF023A,49,TunSelnAuthy.c,XcpCalChgReq_Oper,302,I,""
SF023A,33,TunSelnAuthy.c,RtCalChgReq_Oper,199,I,""
SF023A,55,TunSelnAuthy.c,RtCalChgReq_Oper,222,I,""
SF023A,09,TunSelnAuthy.c,RtCalChgReq_Oper,198,I,""
SF023A,60,TunSelnAuthy.c,RtCalChgReq_Oper,205,I,""
SF023A,61,TunSelnAuthy.c,RtCalChgReq_Oper,220,I,""
SF023A,46,TunSelnAuthy.c,RtCalChgReq_Oper,"224,228",I,""
SF023A,47,TunSelnAuthy.c,XcpCalChgReq_Oper,"305,309",I,""
