FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF032A,11,MotTqCmdSca.c,GetMotTqCmdSca_Oper,130,I,""
SF032A,13,MotTqCmdSca.c,SetMotTqCmdSca_Oper,276,I,""
SF032A,45,MotTqCmdSca.c,SetMotTqCmdSca_Oper,276,I,""
SF032A,14,MotTqCmdSca.c,SetMotTqCmdSca_Oper,276,I,""
SF032A,48,MotTqCmdSca.c,MotTqCmdScaInit1,"174,176-183,177-183",I,""
SF032A,47,MotTqCmdSca.c,MotTqCmdScaInit1,"172,174-183",I,""
SF032A,30,MotTqCmdSca.c,GetMotTqCmdSca_Oper,130,I,""
SF032A,51,MotTqCmdSca.c,GetMotTqCmdSca_Oper,130,I,""
SF032A,50,MotTqCmdSca.c,GetMotTqCmdSca_Oper,130,I,""
SF032A,34,MotTqCmdSca.c,MotTqCmdScaPer1,224-229,I,""
SF032A,36,MotTqCmdSca.c,MotTqCmdScaPer1,231,I,""
