FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF033A,56,VehSigCdng.c,VehSigCdngPer1,294,I,""
SF033A,112,VehSigCdng.c,VehSigCdng_VehLatA,464,I,""
SF033A,98,VehSigCdng.c,"VehSigCdng_VehYawRate,VehSigCdng_LatAEstmn","534,565-574",I,""
SF033A,115,VehSigCdng.c,VehSigCdngPer1,299,I,""
SF033A,61,VehSigCdng.c,VehSigCdngPer1,291,I,""
SF033A,62,VehSigCdng.c,VehSigCdng_VehSpd,363,I,""
SF033A,63,VehSigCdng.c,VehSigCdng_VehLgtA,418,I,""
SF033A,111,VehSigCdng.c,VehSigCdng_VehLgtA,413,I,""
SF033A,110,VehSigCdng.c,VehSigCdng_VehSpd,358,I,""
SF033A,113,VehSigCdng.c,VehSigCdng_VehYawRate,518,I,""
SF033A,103,VehSigCdng.c,VehSigCdng_VehLatA,461,I,""
SF033A,82,VehSigCdng.c,VehSigCdngPer1,296,I,""
SF033A,83,VehSigCdng.c,VehSigCdngPer1,297,I,""
SF033A,80,VehSigCdng.c,VehSigCdngPer1,293,I,""
SF033A,81,VehSigCdng.c,VehSigCdngPer1,295,I,""
SF033A,86,VehSigCdng.c,VehSigCdng_VehLgtA,429,I,""
SF033A,87,VehSigCdng.c,VehSigCdng_VehLatA,476,I,""
SF033A,84,VehSigCdng.c,VehSigCdng_VehYawRate,523,I,""
SF033A,85,VehSigCdng.c,"VehSigCdng_VehLatA,VehSigCdng_VehYawRate","472,522",I,""
SF033A,108,VehSigCdng.c,VehSigCdng_VehLatA,475,I,""
SF033A,104,VehSigCdng.c,VehSigCdng_VehYawRate,516,I,""
SF033A,9,VehSigCdng.c,VehSigCdngPer1,256,I,""
SF033A,68,VehSigCdng.c,"VehSigCdng_VehSpd,VehSigCdng_LatAEstmn","378,587",I,""
SF033A,146,VehSigCdng.c,VehSigCdng_VehSpd,339-352,I,""
SF033A,97,VehSigCdng.c,VehSigCdng_LatAEstmn,576-588,I,""
SF033A,120,VehSigCdng.c,VehSigCdngPer1,263,I,""
SF033A,121,VehSigCdng.c,VehSigCdngPer1,264,I,""
SF033A,122,VehSigCdng.c,VehSigCdngPer1,265,I,""
SF033A,74,VehSigCdng.c,VehSigCdngPer1,258,I,""
SF033A,73,VehSigCdng.c,VehSigCdng_VehLgtA,410,I,""
SF033A,72,VehSigCdng.c,VehSigCdng_VehSpd,355,I,""
SF033A,70,VehSigCdng.c,VehSigCdng_VehSpd,369,I,""
SF033A,91,VehSigCdng.c,VehSigCdng_VehLatA,484,I,""
SF033A,90,VehSigCdng.c,VehSigCdng_VehLgtA,421,I,""
SF033A,106,VehSigCdng.c,VehSigCdng_VehSpd,367,I,""
SF033A,107,VehSigCdng.c,VehSigCdng_VehLgtA,420,I,""
SF033A,79,VehSigCdng.c,VehSigCdngPer1,262,I,""
SF033A,78,VehSigCdng.c,VehSigCdngPer1,261,I,""
SF033A,11,VehSigCdng.c,VehSigCdngPer1,290,I,""
SF033A,60,VehSigCdng.c,VehSigCdng_VehSpd,364,I,""
SF033A,39,VehSigCdng.c,VehSigCdngPer1,292,I,""
SF033A,114,VehSigCdng.c,VehSigCdngPer1,298,I,""
SF033A,33,VehSigCdng.c,VehSigCdngPer1,255,I,""
SF033A,30,VehSigCdng.c,VehSigCdng_VehSpd,339-352,I,""
SF033A,75,VehSigCdng.c,VehSigCdngPer1,260,I,""
SF033A,34,VehSigCdng.c,VehSigCdngPer1,257,I,""
SF033A,99,VehSigCdng.c,"VehSigCdng_VehYawRate,VehSigCdng_LatAEstmn","526,576-588",I,""
SF033A,55,VehSigCdng.c,VehSigCdngPer1,259,I,""
SF033A,109,VehSigCdng.c,VehSigCdng_VehYawRate,525,I,""
SF033A,64,VehSigCdng.c,VehSigCdng_VehLgtA,417,I,""
SF033A,65,VehSigCdng.c,VehSigCdng_VehLatA,473,I,""
