FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF043A,337,TqOscn.c,TqOscnPer1,431,I,""
SF043A,331,TqOscn.c,AmpRateLim,498,I,""
SF043A,330,TqOscn.c,AmpRateLim,505,I,""
SF043A,314,TqOscn.c,TqOscnPer1,"286,358",I,""
SF043A,322,TqOscn.c,TqOscnPer1,"286,358",I,""
SF043A,320,TqOscn.c,TqOscnPer1,"286,358",I,""
SF043A,344,TqOscn.c,TqOscnPer1,443,I,""
SF043A,345,TqOscn.c,TqOscnPer1,447,I,""
SF043A,346,TqOscn.c,TqOscnPer1,445,I,""
SF043A,321,TqOscn.c,TqOscnPer1,"286,358",I,""
SF043A,340,TqOscn.c,TqOscnPer1,447,I,""
SF043A,341,TqOscn.c,TqOscnPer1,443,I,""
SF043A,342,TqOscn.c,TqOscnPer1,445,I,""
SF043A,325,TqOscn.c,AmpRateLim,511,I,""
SF043A,326,TqOscn.c,AmpRateLim,511,I,""
SF043A,328,TqOscn.c,AmpRateLim,"494,498,505",I,""
SF043A,329,TqOscn.c,AmpRateLim,"494,498,505",I,""
SF043A,327,TqOscn.c,AmpRateLim,"494,498",I,""
SF043A,300,TqOscn.c,TqOscnPer1,279,I,""
SF043A,301,TqOscn.c,TqOscnPer1,283,I,""
SF043A,302,TqOscn.c,TqOscnPer1,282,I,""
SF043A,304,TqOscn.c,TqOscnPer1,443,I,""
SF043A,305,TqOscn.c,TqOscnPer1,445,I,""
SF043A,306,TqOscn.c,TqOscnPer1,447,I,""
SF043A,332,TqOscn.c,TqOscnPer1,436,I,""
SF043A,298,TqOscn.c,TqOscnPer1,280,I,""
SF043A,299,TqOscn.c,TqOscnPer1,281,I,""
