FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF049A,154,LoaMgr.c,SetFaults,1355,I,""
SF049A,127,LoaMgr.c,SetFaults,1340,I,""
SF049A,176,LoaMgr.c,LoaMgrPer1,923-928,I,""
SF049A,60,LoaMgr.c,LoaMgrPer1,915,I,""
SF049A,61,LoaMgr.c,LoaMgrPer1,916,I,""
SF049A,62,LoaMgr.c,LoaMgrPer1,924,I,""
SF049A,64,LoaMgr.c,LoaMgrPer1,932,I,""
SF049A,65,LoaMgr.c,LoaMgrPer1,940,I,""
SF049A,178,LoaMgr.c,LoaMgrPer1,939-944,I,""
SF049A,177,LoaMgr.c,LoaMgrPer1,931-936,I,""
SF049A,69,LoaMgr.c,LoaMgrPer1,952-956,I,""
SF049A,175,LoaMgr.c,LoaMgrPer1,914-920,I,""
SF049A,81,LoaMgr.c,LoaMgrPer1,992,I,""
SF049A,173,LoaMgr.c,LoaMgrInit1,787,I,""
SF049A,80,LoaMgr.c,LoaMgrPer1,991,I,""
SF049A,104,LoaMgr.c,SwMtgtnEn,"1432-1433,1448-1449,1464-1465",I,""
SF049A,48,LoaMgr.c,LoaMgrPer1,1075,I,""
SF049A,49,LoaMgr.c,LoaMgrPer1,1077,I,""
SF049A,46,LoaMgr.c,LoaMgrPer1,1076,I,""
SF049A,47,LoaMgr.c,LoaMgrPer1,1081,I,""
SF049A,44,LoaMgr.c,LoaMgrPer1,881,I,""
SF049A,43,LoaMgr.c,LoaMgrPer1,880,I,""
SF049A,105,LoaMgr.c,SwMtgtnEn,"1424,1440,1456",I,""
SF049A,118,LoaMgr.c,SetFaults,1332,I,""
SF049A,183,LoaMgr.c,LoaMgrPer1,888,I,""
SF049A,186,LoaMgr.c,LoaMgrPer1,893,I,""
SF049A,187,LoaMgr.c,LoaMgrPer1,898,I,""
SF049A,184,LoaMgr.c,LoaMgrPer1,882,I,""
SF049A,188,LoaMgr.c,LoaMgrPer1,903,I,""
SF049A,96,LoaMgr.c,LoaMgrPer1,1054-1057,I,""
SF049A,68,LoaMgr.c,LoaMgrPer1,951-955,I,""
SF049A,145,LoaMgr.c,SetFaults,1350,I,""
SF049A,97,LoaMgr.c,LoaMgrPer1,1061-1064,I,""
SF049A,83,LoaMgr.c,LoaMgrPer1,993,I,""
SF049A,100,LoaMgr.c,"LoaMgrPer1,SwMtgtnEn","1035-1043,1399-1408",I,""
SF049A,136,LoaMgr.c,SetFaults,1345,I,""
SF049A,99,LoaMgr.c,"LoaMgrPer1,SwMtgtnEn","1034-1042,1388-1389",I,""
SF049A,75,LoaMgr.c,LoaMgrPer1,975-979,I,""
SF049A,74,LoaMgr.c,LoaMgrPer1,974-978,I,""
SF049A,73,LoaMgr.c,LoaMgrPer1,968-972,I,""
SF049A,72,LoaMgr.c,LoaMgrPer1,967-971,I,""
SF049A,71,LoaMgr.c,LoaMgrPer1,959-963,I,""
SF049A,70,LoaMgr.c,LoaMgrPer1,958-962,I,""
SF049A,102,LoaMgr.c,SwMtgtnEn,1399-1408,I,""
SF049A,93,LoaMgr.c,LoaMgrPer1,1020-1023,I,""
SF049A,101,LoaMgr.c,SwMtgtnEn,1399-1408,I,""
SF049A,95,LoaMgr.c,LoaMgrPer1,1047-1050,I,""
SF049A,94,LoaMgr.c,LoaMgrPer1,1027-1030,I,""
SF049A,79,LoaMgr.c,LoaMgrPer1,984-989,I,""
SF049A,78,LoaMgr.c,LoaMgrPer1,983-988,I,""
SF049A,115,LoaMgr.c,SetFaults,1328,I,""
SF049A,13,LoaMgr.c,LoaMgrPer1,885,I,""
SF049A,12,LoaMgr.c,LoaMgrPer1,883,I,""
SF049A,14,LoaMgr.c,LoaMgrPer1,884,I,""
SF049A,17,LoaMgr.c,LoaMgrInit1,787,I,""
SF049A,16,LoaMgr.c,LoaMgrPer1,1080,I,""
SF049A,18,LoaMgr.c,LoaMgrPer1,882,I,""
SF049A,108,LoaMgr.c,"LoaMgrPer1,SwMtgtnEn","1087,1416-1475",I,""
SF049A,107,LoaMgr.c,SwMtgtnEn,1416-1475,I,""
SF049A,110,LoaMgr.c,LoaMgrPer1,1084,I,""
SF049A,203,LoaMgr.c,LoaMgrPer1,1073-1080,I,""
