FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF052A,11,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,158,I,""
SF052A,10,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,160,I,""
SF052A,13,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,161,I,""
SF052A,12,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,162,I,""
SF052A,15,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,163,I,""
SF052A,14,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,159,I,""
SF052A,17,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,190,I,""
SF052A,33,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,174,I,""
SF052A,32,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,173,I,""
SF052A,31,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,172,I,""
SF052A,30,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,170,I,""
SF052A,28,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,168,I,""
SF052A,29,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,169,I,""
SF052A,19,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,191,I,""
SF052A,18,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,189,I,""
SF052A,59,SnsrOffsCorrn.c,SnsrOffsCorrnPer1,"165,168,169,170",I,""
