FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF054A,13,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,761,I,""
SF054A,143,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,775,I,""
SF054A,98,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,905,I,""
SF054A,43,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,731,I,""
SF054A,94,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,879-922,I,""
SF054A,60,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,764,I,""
SF054A,91,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,904,I,""
SF054A,64,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,762,I,""
SF054A,97,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,882-925,I,""
SF054A,67,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,"827-843,866",I,""
SF054A,128,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,774,I,""
SF054A,69,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,845-862,I,""
SF054A,80,PwrpkCmpbltyChk.c,"PwrpkCmpbltyChkInit1,PwrpkCmpbltyChkPer1","680,770-822",I,""
SF054A,92,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,818,I,""
SF054A,95,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,880-923,I,""
SF054A,93,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,878-921,I,""
SF054A,84,PwrpkCmpbltyChk.c,"PwrpkCmpbltyChkInit1,PwrpkCmpbltyChkPer1","681,763,771-821",I,""
SF054A,96,PwrpkCmpbltyChk.c,PwrpkCmpbltyChkPer1,881-924,I,""
