FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF101A,39,MotQuadDetn.c,MotQuadDetnPer1,260,I,""
SF101A,27,MotQuadDetn.c,MotQuadDetnPer1,195,I,""
SF101A,49,MotQuadDetn.c,MotQuadDetnInit1,147,I,""
SF101A,55,MotQuadDetn.c,MotQuadDetnInit1,148,I,""
SF101A,47,MotQuadDetn.c,MotQuadDetnPer1,211,I,""
SF101A,44,MotQuadDetn.c,MotQuadDetnPer1,"195,199,209,213,218",I,""
SF101A,51,MotQuadDetn.c,MotQuadDetnPer1,"222-229,223-229",I,""
SF101A,52,MotQuadDetn.c,MotQuadDetnPer1,"223,231-257",I,""
SF101A,46,MotQuadDetn.c,MotQuadDetnPer1,"195,199,209,213,218",I,""
SF101A,38,MotQuadDetn.c,MotQuadDetnPer1,196,I,""
SF101A,54,MotQuadDetn.c,MotQuadDetnPer1,234,I,""
SF101A,28,MotQuadDetn.c,MotQuadDetnPer1,259,I,""
