FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF105A,153,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,134,I,""
SF105A,155,CDD_MotCurrRegVltgLimr.c,MotCurrRegVltgLimrInit1,"153,154",I,""
SF105A,135,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,188-201,I,""
SF105A,156,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,281-286,I,""
SF105A,158,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,283-288,I,""
SF105A,67,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,174-182,I,""
SF105A,115,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,"328,359-384",I,""
SF105A,61,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,436,I,""
SF105A,62,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,440,I,""
SF105A,89,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,224-275,I,""
SF105A,137,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,206-219,I,""
SF105A,136,CDD_MotCurrRegVltgLimr.c,MotCurrRegVltgLimrInit1,154,I,""
SF105A,66,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,173-184,I,""
SF105A,134,CDD_MotCurrRegVltgLimr.c,MotCurrRegVltgLimrInit1,154,I,""
SF105A,68,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,175-183,I,""
SF105A,80,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,160-170,I,""
SF105A,93,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,239-265,I,""
SF105A,84,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,207-220,I,""
SF105A,85,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,205-218,I,""
SF105A,171,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,357-373,I,""
SF105A,27,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,141,I,""
SF105A,63,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,439,I,""
SF105A,48,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,143,I,""
SF105A,49,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,151,I,""
SF105A,46,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,135,I,""
SF105A,47,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,142,I,""
SF105A,44,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,153,I,""
SF105A,45,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,152,I,""
SF105A,42,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,146,I,""
SF105A,43,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,148,I,""
SF105A,40,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,147,I,""
SF105A,41,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,149,I,""
SF105A,97,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,242-268,I,""
SF105A,28,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,437,I,""
SF105A,172,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,358-374,I,""
SF105A,122,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,388-410,I,""
SF105A,141,CDD_MotCurrRegVltgLimr.c,MotCurrRegVltgLimrInit1,"151,152",I,""
SF105A,120,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,329-385,I,""
SF105A,121,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,387-409,I,""
SF105A,108,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,297-316,I,""
SF105A,74,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,189-202,I,""
SF105A,168,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,"134,139",I,""
SF105A,126,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,413-432,I,""
SF105A,102,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,280-285,I,""
SF105A,90,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,243-269,I,""
SF105A,166,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,133,I,""
SF105A,101,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,282-287,I,""
SF105A,95,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,241-267,I,""
SF105A,161,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,154,I,""
SF105A,79,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,159-169,I,""
SF105A,96,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,240-266,I,""
SF105A,118,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,"377,378,379",I,""
SF105A,60,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,438,I,""
SF105A,38,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,137,I,""
SF105A,59,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,139,I,""
SF105A,58,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,133,I,""
SF105A,57,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,136,I,""
SF105A,56,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,140,I,""
SF105A,51,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,144,I,""
SF105A,50,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,150,I,""
SF105A,53,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,138,I,""
SF105A,52,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,145,I,""
SF105A,130,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,414-433,I,""
SF105A,107,CDD_MotCurrRegVltgLimr_MotCtrl.c,MotCurrRegVltgLimrPer1,296-315,I,""
