FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF106A,28,MotRplCoggCfg.c,MotRplCoggCfgPer1,754,I,""
SF106A,115,MotRplCoggCfg.c,MotRplCoggCfgPer1,744,I,""
SF106A,61,MotRplCoggCfg.c,MotRplCoggCfgPer1,659-667,I,""
SF106A,81,MotRplCoggCfg.c,MotRplCoggCfgPer1,496-511,I,""
SF106A,27,MotRplCoggCfg.c,MotRplCoggCfgPer1,479,I,""
SF106A,48,MotRplCoggCfg.c,MotRplCoggCfgPer1,757,I,""
SF106A,49,MotRplCoggCfg.c,MotRplCoggCfgPer1,759,I,""
SF106A,46,MotRplCoggCfg.c,MotRplCoggCfgPer1,753,I,""
SF106A,47,MotRplCoggCfg.c,MotRplCoggCfgPer1,756,I,""
SF106A,44,MotRplCoggCfg.c,MotRplCoggCfgPer1,484,I,""
SF106A,45,MotRplCoggCfg.c,MotRplCoggCfgPer1,483,I,""
SF106A,42,MotRplCoggCfg.c,MotRplCoggCfgPer1,480,I,""
SF106A,43,MotRplCoggCfg.c,MotRplCoggCfgPer1,481,I,""
SF106A,41,MotRplCoggCfg.c,MotRplCoggCfgPer1,482,I,""
SF106A,77,MotRplCoggCfg.c,MotRplCoggCfgPer1,752,I,""
SF106A,72,MotRplCoggCfg.c,MotRplCoggCfgPer1,686-729,I,""
SF106A,71,MotRplCoggCfg.c,MotRplCoggCfgPer1,670-679,I,""
SF106A,70,MotRplCoggCfg.c,MotRplCoggCfgPer1,681-734,I,""
SF106A,79,MotRplCoggCfg.c,MotRplCoggCfgPer1,487-491,I,""
SF106A,39,MotRplCoggCfg.c,MotRplCoggCfgPer1,478,I,""
SF106A,33,MotRplCoggCfg.c,"GetMotRplCoggPrm_Oper,MotRplCoggCfgInit1","299-309,365",I,""
SF106A,54,MotRplCoggCfg.c,MotRplCoggCfgPer1,739-749,I,""
SF106A,56,MotRplCoggCfg.c,"MotRplCoggCfgInit1,MotRplCoggCfgPer1","348-364,740-750",I,""
SF106A,51,MotRplCoggCfg.c,MotRplCoggCfgPer1,755,I,""
SF106A,50,MotRplCoggCfg.c,MotRplCoggCfgPer1,758,I,""
SF106A,52,MotRplCoggCfg.c,MotRplCoggCfgPer1,476-761,I,""
SF106A,32,MotRplCoggCfg.c,"MotRplCoggCfgInit1,SetMotRplCoggPrm_Oper","347-363,801-813",I,""
