FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF108A,39,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,169,I,""
SF108A,45,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer2,248,I,""
SF108A,58,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer2,240-242,I,""
SF108A,48,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,174-185,I,""
SF108A,49,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,174-185,I,""
SF108A,42,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,200,I,""
SF108A,56,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,192-195,I,""
SF108A,51,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,"186,187",I,""
SF108A,40,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,168,I,""
SF108A,41,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,171,I,""
SF108A,63,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,170,I,""
SF108A,64,MotCurrPeakEstimn.c,MotCurrPeakEstimnPer1,167,I,""
SF108A,68,MotCurrPeakEstimn.c,"MotCurrPeakEstimnPer1,MotCurrPeakEstimnPer2","197,244-246",I,""
